Data;Tipo
2018-01-01;6
2018-01-02;7
2018-02-12;3
2018-02-13;4
2018-02-14;5
2018-03-30;2
2018-04-01;2
2018-04-21;2
2018-04-30;11
2018-05-01;2
2018-05-31;2
2018-06-01;11
2018-06-17;12
2018-06-22;12
2018-06-27;12
2018-07-02;12
2018-07-06;12
2018-09-07;2
2018-10-12;2
2018-11-02;2
2018-11-15;2
2018-11-16;11
2018-12-08;11
2018-12-24;8
2018-12-25;6
2018-12-26;7
2018-12-31;8
2019-01-01;6
2019-01-02;7
2019-03-04;3
2019-03-05;4
2019-03-06;5
2019-04-19;2
2019-04-21;2
2019-05-01;2
2019-06-20;2
2019-06-21;11
2019-06-24;2
2019-09-07;2
2019-10-12;2
2019-11-02;2
2019-11-15;2
2019-12-24;8
2019-12-25;6
2019-12-26;7
2019-12-31;8
2020-01-01;6
2020-01-02;7
2020-02-24;3
2020-02-25;4
2020-02-26;5
2020-04-10;2
2020-04-12;2
2020-04-20;11
2020-04-21;2
2020-05-01;2
2020-06-11;2
2020-06-12;11
2020-06-24;2
2020-09-07;2
2020-10-12;2
2020-11-02;2
2020-12-08;11
2020-12-24;8
2020-12-25;6
2020-12-26;7
2020-12-31;8
2021-01-01;6
2021-01-02;7
2021-02-15;3
2021-02-16;4
2021-02-17;5
2021-04-02;2
2021-04-04;2
2021-04-21;2
2021-05-01;2
2021-06-03;2
2021-06-04;11
2021-06-24;2
2021-06-25;11
2021-09-06;11
2021-09-07;2
2021-10-11;11
2021-10-12;2
2021-11-01;11
2021-11-02;2
2021-11-15;2
2021-12-08;11
2021-12-24;8
2021-12-25;6
2021-12-26;7
2021-12-31;8
2022-01-01;6
2022-01-02;7
2022-02-28;3
2022-03-01;4
2022-03-02;5
2022-04-15;2
2022-04-17;2
2022-04-21;2
2022-04-22;11
2022-06-16;2
2022-06-17;11
2022-06-24;2
2022-09-07;2
2022-10-12;2
2022-11-02;2
2022-11-14;11
2022-11-15;2
2022-11-24;12
2022-11-28;12
2022-12-02;12
2022-12-05;12
2022-12-08;11
2022-12-09;12
2023-02-20;3
2023-02-21;4
2023-02-22;5
2023-04-06;11
2023-04-07;2
2023-04-09;2
2023-04-21;2
2023-05-01;2
2023-06-08;2
2023-06-09;11
2023-06-24;2
2023-09-07;2
2023-09-08;11
2023-10-12;2
2023-10-13;11
2023-11-02;2
2023-11-03;11
2023-11-15;2
2023-12-08;11
2023-12-24;8
2023-12-25;6
2023-12-26;7
2023-12-31;8
2024-01-01;6
2024-01-02;7
2024-02-12;3
2024-02-13;4
2024-02-14;5
2024-03-29;2
2024-03-31;2
2024-04-21;2
2024-05-01;2
2024-05-30;2
2024-05-31;11
2024-06-24;2
2024-09-07;2
2024-10-12;2
2024-11-02;2
2024-11-15;2
2024-11-20;2
2024-12-20;12
2024-12-21;12
2024-12-22;12
2024-12-23;12
2024-12-24;8
2024-12-25;6
2024-12-26;7
2024-12-27;12
2024-12-28;12
2024-12-29;12
2024-12-30;12
2024-12-31;8
2025-01-01;6
2025-01-02;7
2025-01-03;12
2025-01-04;12
2025-01-05;12
2025-01-06;12
2025-03-03;3
2025-03-04;4
2025-03-05;5
2025-04-18;2
2025-04-20;2
2025-04-21;2
2025-05-01;2
2025-05-02;11
2025-06-19;2
2025-06-20;11
2025-06-24;2
2025-11-20;2
2025-11-21;11
2025-12-24;8
2025-12-25;6
2025-12-26;7
2025-12-31;8
2026-01-01;6
2026-01-02;7
